S/N,Normal,OT,Present,Meal Deduction,Night Meal,Paid Leave,NORMAL RATE ,OT RATE,Night Meal Rate,Paid Leave Rate,SOC COST,TOTAL EARNINGS AND MEAL,SERVICE CHARGE,VAT 7.5%,TOTAL INVOICE,Meal Deduction_1
840,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
841,160,3.67,15,18,16,,30000,731.1374,5200,0,3500,39431.1374,3351.646679,251.3735009,43034.15758,900
842,160,5,15,0,14,,30000,996.1,4550,0,3500,39046.1,3318.9185,248.9188875,42613.93739,0
843,160,0.02,16,18,16,,30000,3.9844,5200,0,3500,38703.9844,3289.838674,246.7379006,42240.56097,900
844,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
845,320,0,11,18,8,,60000,0,2600,0,3500,66100,5618.5,421.3875,72139.8875,900
846,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
847,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
848,160,16,16,0,14,,30000,3187.52,4550,0,3500,41237.52,3505.1892,262.88919,45005.59839,0
849,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
850,160,3.57,15,18,16,,30000,711.2154,5200,0,3500,39411.2154,3349.953309,251.2464982,43012.41521,900
851,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
852,160,16,17,0,14,,30000,3187.52,4550,0,3500,41237.52,3505.1892,262.88919,45005.59839,0
853,160,5,15,0,14,,30000,996.1,4550,0,3500,39046.1,3318.9185,248.9188875,42613.93739,0
854,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
855,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
856,144.73,0,14,0,12,,27136.875,0,3900,0,3500,34536.875,2935.634375,220.1725781,37692.68195,0
857,160,16,16,0,14,,30000,3187.52,4550,0,3500,41237.52,3505.1892,262.88919,45005.59839,0
858,160,3.73,15,18,16,,30000,743.0906,5200,0,3500,39443.0906,3352.662701,251.4497026,43047.203,900
859,160,3.6,15,18,16,,30000,717.192,5200,0,3500,39417.192,3350.46132,251.284599,43018.93792,900
860,143,0,13,8,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,400
861,138.95,0,13,0,14,,26053.125,0,4550,0,3500,34103.125,2898.765625,217.4074219,37219.29805,0
862,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
863,154,0,14,0,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,0
864,154,0,14,16,16,,28875,0,5200,0,3500,37575,3193.875,239.540625,41008.41563,800
865,160,14.93,16,0,14,,30000,2974.3546,4550,0,3500,41024.3546,3487.070141,261.5302606,44772.955,0
866,160,3.35,15,0,14,,30000,667.387,4550,0,3500,38717.387,3290.977895,246.8233421,42255.18824,0
867,141.7,0,13,18,12,,26568.75,0,3900,0,3500,33968.75,2887.34375,216.5507813,37072.64453,900
868,153.55,0,14,14,16,,28790.625,0,5200,0,3500,37490.625,3186.703125,239.0027344,40916.33086,700
869,160,3.1,15,0,12,,30000,617.582,3900,0,3500,38017.582,3231.49447,242.3620853,41491.43856,0
870,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
871,151.77,0,14,0,12,,28456.875,0,3900,0,3500,35856.875,3047.834375,228.5875781,39133.29695,0
872,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
873,118,0,13,11,14,,22125,0,4550,0,3500,30175,2564.875,192.365625,32932.24063,550
874,152.97,0,14,10,14,,28681.875,0,4550,0,3500,36731.875,3122.209375,234.1657031,40088.25008,500
875,160,38,19,0,22,,30000,7570.36,7150,0,3500,48220.36,4098.7306,307.404795,52626.4954,0
876,152.92,0,14,10,14,,28672.5,0,4550,0,3500,36722.5,3121.4125,234.1059375,40078.01844,500
877,128.22,0,12,10,10,,24041.25,0,3250,0,3500,30791.25,2617.25625,196.2942188,33604.80047,500
878,160,22.92,23,19,,,30000,4566.1224,0,0,3500,38066.1224,3235.620404,242.6715303,41544.41433,950
879,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
880,132,56,17,18,18,80,24750,11156.32,5850,15000,3500,60256.32,5121.7872,384.13404,65762.24124,900
881,154,22,16,18,16,,28875,4382.84,5200,0,3500,41957.84,3566.4164,267.48123,45791.73763,900
882,130.95,55,17,20,16,80,24553.125,10957.1,5200,15000,3500,59210.225,5032.869125,377.4651844,64620.55931,1000
883,129.8,53.77,17,14,18,,24337.5,10712.0594,5850,0,3500,44399.5594,3773.962549,283.0471912,48456.56914,700
884,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
885,143,44,17,20,18,80,26812.5,8765.68,5850,15000,3500,59928.18,5093.8953,382.0421475,65404.11745,1000
886,132,44,16,14,18,,24750,8765.68,5850,0,3500,42865.68,3643.5828,273.26871,46782.53151,700
887,88,44,12,16,12,,16500,8765.68,3900,0,3500,32665.68,2776.5828,208.24371,35650.50651,800
888,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
889,131.83,31.88,16,16,12,,24718.125,6351.1336,3900,0,3500,38469.2586,3269.886981,245.2415236,41984.3871,800
890,116.18,30.47,14,15,12,,21783.75,6070.2334,3900,0,3500,35253.9834,2996.588589,224.7441442,38475.31613,750
891,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
892,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
893,132,53.13,17,20,16,,24750,10584.5586,5200,0,3500,44034.5586,3742.937481,280.7203111,48058.21639,1000
894,130.97,55,17,20,16,,24556.875,10957.1,5200,0,3500,44213.975,3758.187875,281.8640906,48254.02697,1000
895,154,33,17,20,18,,28875,6574.26,5850,0,3500,44799.26,3807.9371,285.5952825,48892.79238,1000
896,109.83,33,14,12,12,,20593.125,6574.26,3900,0,3500,34567.385,2938.227725,220.3670794,37725.9798,600
897,132,55,18,18,18,,24750,10957.1,5850,0,3500,45057.1,3829.8535,287.2390125,49174.19251,900
898,132,55,17,20,16,80,24750,10957.1,5200,15000,3500,59407.1,5049.6035,378.7202625,64835.42376,1000
899,132,55,18,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
900,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
901,130.88,44,16,16,16,,24540,8765.68,5200,0,3500,42005.68,3570.4828,267.78621,45843.94901,800
902,132,38.23,16,18,16,,24750,7616.1806,5200,0,3500,41066.1806,3490.625351,261.7969013,44818.60285,900
903,132,55,18,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
904,133.02,44,19,20,18,,24941.25,8765.68,5850,0,3500,43056.93,3659.83905,274.4879288,46991.25698,1000
905,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
906,132,55,17,16,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,800
907,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
908,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
909,133,33,18,20,12,,24937.5,6574.26,3900,0,3500,38911.76,3307.4996,248.06247,42467.32207,1000
910,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
911,132,44,16,18,16,,24750,8765.68,5200,0,3500,42215.68,3588.3328,269.12496,46073.13776,900
912,144.57,53.4,18,16,18,,27106.875,10638.348,5850,0,3500,47095.223,4003.093955,300.2320466,51398.549,800
913,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
914,110,33,13,20,8,80,20625,6574.26,2600,15000,3500,48299.26,4105.4371,307.9077825,52712.60488,1000
915,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
916,132,55,17,16,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,800
917,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
918,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
919,123.8,33,15,20,16,,23212.5,6574.26,5200,0,3500,38486.76,3271.3746,245.353095,42003.4877,1000
920,132,44,16,18,18,,24750,8765.68,5850,0,3500,42865.68,3643.5828,273.26871,46782.53151,900
921,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
922,66,44,10,16,8,,12375,8765.68,2600,0,3500,27240.68,2315.4578,173.659335,29729.79714,800
923,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
924,153.5,55,21,18,16,,28781.25,10957.1,5200,0,3500,48438.35,4117.25975,308.7944813,52864.40423,900
925,132,55,17,19,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,950
926,132,55,17,18,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,900
927,144.5,53.4,18,16,18,,27093.75,10638.348,5850,0,3500,47082.098,4001.97833,300.1483748,51384.2247,800
928,143,44,17,16,16,,26812.5,8765.68,5200,0,3500,44278.18,3763.6453,282.2733975,48324.0987,800
929,143,55,18,20,20,,26812.5,10957.1,6500,0,3500,47769.6,4060.416,304.5312,52134.5472,1000
930,132,55,17,16,18,,24750,10957.1,5850,0,3500,45057.1,3829.8535,287.2390125,49174.19251,800
931,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
932,133.72,53.25,17,14,18,,25072.5,10608.465,5850,0,3500,45030.965,3827.632025,287.0724019,49145.66943,700
933,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
934,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
935,400,0,18,19,0,,75000,0,0,0,3500,78500,6672.5,500.4375,85672.9375,950
936,132,55,17,16,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,800
937,247.32,44,17,16,24,,46372.5,8765.68,7800,0,3500,66438.18,5647.2453,423.5433975,72508.9687,800
938,110,55,15,18,14,,20625,10957.1,4550,0,3500,39632.1,3368.7285,252.6546375,43253.48314,900
939,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
940,132,53.68,17,20,16,,24750,10694.1296,5200,0,3500,44144.1296,3752.251016,281.4188262,48177.79944,1000
